编号	大洲	战役	行省	城镇	开局派系	首府	世界X	世界Y	六边形X	六边形Y	区域KEY	行省KEY	派系KEY	英文名	分组KEY	大洲来源
22	奥苏安	超凡帝国	独角兽门	独角兽门	艾里昂	是	144.30	471.31	216	611	wh3_main_combi_region_unicorn_gate	wh3_main_combi_province_unicorn_gate	wh2_main_hef_ellyrion	Unicorn Gate	cai_region_hint_area_ulthuan	官方
23	奥苏安	超凡帝国	狮鹫门	狮鹫门	泰伦洛克	是	130.93	458.20	196	594	wh3_main_combi_region_griffon_gate	wh3_main_combi_province_griffon_gate	wh2_main_hef_tiranoc	Griffon Gate	cai_region_hint_area_ulthuan	官方
24	奥苏安	超凡帝国	纳迦瑞斯	凯恩圣殿	凯恩之鞭		172.35	511.42	258	663	wh3_main_combi_region_shrine_of_khaine	wh3_main_combi_province_nagarythe	wh2_main_def_scourge_of_khaine	Shrine of Khaine	cai_region_hint_area_ulthuan	官方
25	奥苏安	超凡帝国	纳迦瑞斯	塔尔·卓德尔	凯恩之鞭		132.27	483.65	198	627	wh3_main_combi_region_tor_dranil	wh3_main_combi_province_nagarythe	wh2_main_def_scourge_of_khaine	Tor Dranil	cai_region_hint_area_ulthuan	官方
26	奥苏安	超凡帝国	纳迦瑞斯	塔尔·安列克	凯恩之鞭	是	156.32	501.40	234	650	wh3_main_combi_region_tor_anlec	wh3_main_combi_province_nagarythe	wh2_main_def_scourge_of_khaine	Tor Anlec	cai_region_hint_area_ulthuan	官方
27	奥苏安	超凡帝国	艾里昂	塔尔·艾利尔	艾里昂	是	137.61	430.43	206	558	wh3_main_combi_region_tor_elyr	wh3_main_combi_province_ellyrion	wh2_main_hef_ellyrion	Tor Elyr	cai_region_hint_area_ulthuan	官方
28	奥苏安	超凡帝国	艾里昂	白焰城	艾里昂		146.30	449.33	219	582	wh3_main_combi_region_whitefire_tor	wh3_main_combi_province_ellyrion	wh2_main_hef_ellyrion	Whitefire Tor	cai_region_hint_area_ulthuan	官方
29	奥苏安	超凡帝国	萨芙睿	伊莱斯忒港	萨芙睿		189.72	417.32	284	541	wh3_main_combi_region_port_elistor	wh3_main_combi_province_saphery	wh2_main_hef_saphery	Port Elistor	cai_region_hint_area_ulthuan	官方
30	奥苏安	超凡帝国	萨芙睿	塔尔·芬努	萨芙睿		199.74	451.64	299	585	wh3_main_combi_region_tor_finu	wh3_main_combi_province_saphery	wh2_main_hef_saphery	Tor Finu	cai_region_hint_area_ulthuan	官方
31	奥苏安	超凡帝国	萨芙睿	荷斯白塔	萨芙睿	是	197.07	433.90	295	562	wh3_main_combi_region_white_tower_of_hoeth	wh3_main_combi_province_saphery	wh2_main_hef_saphery	White Tower of Hoeth	cai_region_hint_area_ulthuan	官方
32	奥苏安	超凡帝国	阿瓦隆	伊甸谷	阿瓦隆	是	171.02	446.63	256	579	wh3_main_combi_region_gaean_vale	wh3_main_combi_province_avelorn	wh2_main_hef_avelorn	Gaean Vale	cai_region_hint_area_ulthuan	官方
33	奥苏安	超凡帝国	阿瓦隆	塔尔·永恒城	凯恩之鞭		180.37	463.60	270	601	wh3_main_combi_region_tor_saroir	wh3_main_combi_province_avelorn	wh2_main_def_scourge_of_khaine	Tor Saroir	cai_region_hint_area_ulthuan	官方
34	奥苏安	超凡帝国	阿瓦隆	永恒之岩	凯恩之鞭		160.33	458.97	240	595	wh3_main_combi_region_evershale	wh3_main_combi_province_avelorn	wh2_main_def_scourge_of_khaine	Evershale	cai_region_hint_area_ulthuan	官方
35	奥苏安	超凡帝国	雄鹰门	雄鹰门	艾里昂	是	126.26	441.61	189	572	wh3_main_combi_region_eagle_gate	wh3_main_combi_province_eagle_gate	wh2_main_hef_ellyrion	Eagle Gate	cai_region_hint_area_ulthuan	官方
36	纳迦罗斯	超凡帝国	凄凉海岸	凄凉要塞	森林之女		59.45	477.10	89	618	wh3_main_combi_region_bleak_hold_fortress	wh3_main_combi_province_the_bleak_coast	wh3_dlc24_ksl_daughters_of_the_forest	Bleak Hold Fortress	cai_region_hint_area_naggarond	官方
37	纳迦罗斯	超凡帝国	凄凉海岸	碎月山	荒芜守军		89.52	437.37	134	567	wh3_main_combi_region_the_moon_shard	wh3_main_combi_province_the_bleak_coast	wh2_main_def_bleak_holds	The Moon Shard	cai_region_hint_area_naggarond	官方
38	纳迦罗斯	超凡帝国	凄凉海岸	阿纳海姆	荒芜守军	是	98.20	453.96	147	588	wh3_main_combi_region_arnheim	wh3_main_combi_province_the_bleak_coast	wh2_main_def_bleak_holds	Arnheim	cai_region_hint_area_naggarond	官方
39	纳迦罗斯	超凡帝国	凄凉海岸	阿纳海姆森林	荒芜守军		73.48	463.60	110	601	wh3_main_combi_region_forest_of_arnheim	wh3_main_combi_province_the_bleak_coast	wh2_main_def_bleak_holds	Forest of Arnheim	cai_region_hint_area_naggarond	官方
40	纳迦罗斯	超凡帝国	利爪海岸	扭曲林地	溺亡者	是	138.95	533.79	208	692	wh3_main_combi_region_the_twisted_glade	wh3_main_combi_province_the_clawed_coast	wh2_dlc11_cst_the_drowned	The Twisted Glade	cai_region_hint_area_naggarond	官方
41	纳迦罗斯	超凡帝国	利爪海岸	柯泰克圆柱	锻炉盟会		115.57	554.24	173	718	wh3_main_combi_region_hoteks_column	wh3_main_combi_province_the_clawed_coast	wh2_main_def_the_forgebound	Hotek's Column	cai_region_hint_area_naggarond	官方
42	纳迦罗斯	超凡帝国	利爪海岸	黑暗森林	锻炉盟会		138.28	559.64	207	725	wh3_main_combi_region_the_black_forests	wh3_main_combi_province_the_clawed_coast	wh2_main_def_the_forgebound	The Black Forests	cai_region_hint_area_naggarond	官方
43	纳迦罗斯	超凡帝国	巫女林	巫女林	艾瑞尔军锋	是	44.09	509.11	66	660	wh3_main_combi_region_the_witchwood	wh3_main_combi_province_the_witchwood	wh2_dlc16_wef_sisters_of_twilight	The Witchwood	cai_region_hint_area_naggarond	官方
44	纳迦罗斯	超凡帝国	彻寒荒原	冰川花园			115.57	688.46	173	892	wh3_dlc20_combi_region_glacial_gardens	wh3_dlc20_combi_province_frigid_wasteland		The Glacial Gardens	cai_region_hint_area_naggarond	官方
45	纳迦罗斯	超凡帝国	彻寒荒原	废墟之殿		是	153.65	697.33	230	904	wh3_main_combi_region_the_palace_of_ruin	wh3_dlc20_combi_province_frigid_wasteland		The Palace of Ruin	cai_region_hint_area_naggarond	官方
46	纳迦罗斯	超凡帝国	末日林地	海格之厅	德库拉女巫团	是	70.81	496.77	106	644	wh3_main_combi_region_hag_hall	wh3_main_combi_province_doom_glades	wh2_main_def_drackla_coven	Hag Hall	cai_region_hint_area_naggarond	官方
47	纳迦罗斯	超凡帝国	末日林地	瓦尔铁砧	德库拉女巫团		84.17	516.82	126	670	wh3_main_combi_region_vauls_anvil_naggaroth	wh3_main_combi_province_doom_glades	wh2_main_def_drackla_coven	Vaul's Anvil	cai_region_hint_area_naggarond	官方
48	纳迦罗斯	超凡帝国	末日林地	阿达厄斯神殿	德库拉女巫团		50.77	531.48	76	689	wh3_main_combi_region_temple_of_addaioth	wh3_main_combi_province_doom_glades	wh2_main_def_drackla_coven	Temple of Addaioth	cai_region_hint_area_naggarond	官方
49	纳迦罗斯	超凡帝国	枯木林	冰封城	枯木哨兵	是	189.72	672.64	284	872	wh3_main_combi_region_the_frozen_city	wh3_main_combi_province_deadwood	wh2_main_def_deadwood_sentinels	The Frozen City	cai_region_hint_area_naggarond	官方
50	纳迦罗斯	超凡帝国	枯木林	纳格尔	破笼者		181.04	645.26	271	836	wh3_main_combi_region_nagrar	wh3_main_combi_province_deadwood	wh3_main_grn_da_cage_breakaz	Nagrar	cai_region_hint_area_naggarond	官方
51	纳迦罗斯	超凡帝国	枯木林	达格斯	破笼者		166.34	662.23	249	858	wh3_main_combi_region_dargoth	wh3_main_combi_province_deadwood	wh3_main_grn_da_cage_breakaz	Dargoth	cai_region_hint_area_naggarond	官方
52	纳迦罗斯	超凡帝国	泰坦群峰	希拉卓·塔尔	希拉卓·塔尔		42.75	412.69	64	535	wh3_main_combi_region_ssildra_tor	wh3_main_combi_province_titan_peaks	wh2_main_def_ssildra_tor	Ss'ildra Tor	cai_region_hint_area_naggarond	官方
53	纳迦罗斯	超凡帝国	泰坦群峰	昆泰克斯古城	欢愉教派	是	48.77	457.04	73	592	wh3_main_combi_region_ancient_city_of_quintex	wh3_main_combi_province_titan_peaks	wh2_main_def_cult_of_pleasure	Ancient City of Quintex	cai_region_hint_area_naggarond	官方
54	纳迦罗斯	超凡帝国	泰坦群峰	灰岩据点	希拉卓·塔尔		70.81	418.86	106	543	wh3_main_combi_region_grey_rock_point	wh3_main_combi_province_titan_peaks	wh2_main_def_ssildra_tor	Grey Rock Point	cai_region_hint_area_naggarond	官方
55	纳迦罗斯	超凡帝国	泰坦群峰	石化森林	希拉卓·塔尔		51.44	430.04	77	557	wh3_main_combi_region_petrified_forest	wh3_main_combi_province_titan_peaks	wh2_main_def_ssildra_tor	Petrified Forest	cai_region_hint_area_naggarond	官方
56	纳迦罗斯	超凡帝国	灰白海岸	斯喀匹尔巢穴	磨砂氏族		10.02	463.21	15	600	wh3_main_combi_region_scarpels_lair	wh3_main_combi_province_ashen_coast	wh2_dlc16_skv_clan_gritus	Scarpel's Lair	cai_region_hint_area_naggarond	官方
57	纳迦罗斯	超凡帝国	灰白海岸	暴君峰	磨砂氏族	是	14.03	442.39	21	573	wh3_main_combi_region_tyrant_peak	wh3_main_combi_province_ashen_coast	wh2_dlc16_skv_clan_gritus	Tyrant Peak	cai_region_hint_area_naggarond	官方
58	纳迦罗斯	超凡帝国	灰白海岸	萨菲尔斯	磨砂氏族		14.70	410.37	22	532	wh3_main_combi_region_sulpharets	wh3_main_combi_province_ashen_coast	wh2_dlc16_skv_clan_gritus	Sulpharets	cai_region_hint_area_naggarond	官方
59	纳迦罗斯	超凡帝国	灰白海岸	铁刺镇	希拉卓·塔尔		28.73	422.33	43	547	wh3_main_combi_region_ironspike	wh3_main_combi_province_ashen_coast	wh2_main_def_ssildra_tor	Ironspike	cai_region_hint_area_naggarond	官方
60	纳迦罗斯	超凡帝国	破碎之地	亵渎要塞	枯木哨兵	是	250.51	671.48	375	870	wh3_main_combi_region_fortress_of_the_damned	wh3_main_combi_province_the_shard_lands	wh2_main_def_deadwood_sentinels	Fortress of the Damned	cai_region_hint_area_naggarond	官方
61	纳迦罗斯	超凡帝国	破碎之地	煞格瑞斯	枯木哨兵		213.10	658.37	319	853	wh3_main_combi_region_shagrath	wh3_main_combi_province_the_shard_lands	wh2_main_def_deadwood_sentinels	Shagrath	cai_region_hint_area_naggarond	官方
62	纳迦罗斯	超凡帝国	破碎之地	碎屑砦	阿骨尔		209.76	694.24	314	900	wh3_main_combi_region_shard_bastion	wh3_main_combi_province_the_shard_lands	wh2_main_nor_aghol	Shard Bastion	cai_region_hint_area_naggarond	官方
63	纳迦罗斯	超凡帝国	破败之地	卡隆德·卡尔	卡隆德·卡尔	是	185.05	615.17	277	797	wh3_main_combi_region_karond_kar	wh3_main_combi_province_the_broken_lands	wh2_main_def_karond_kar	Karond Kar	cai_region_hint_area_naggarond	官方
64	纳迦罗斯	超凡帝国	破败之地	奴隶贩据点	卡隆德·卡尔		158.99	580.85	238	753	wh3_main_combi_region_slavers_point	wh3_main_combi_province_the_broken_lands	wh2_main_def_karond_kar	Slaver's Point	cai_region_hint_area_naggarond	官方
65	纳迦罗斯	超凡帝国	破败之地	黑溪尖塔	卡隆德·卡尔		179.70	592.80	269	768	wh3_main_combi_region_black_creek_spire	wh3_main_combi_province_the_broken_lands	wh2_main_def_karond_kar	Black Creek Spire	cai_region_hint_area_naggarond	官方
66	纳迦罗斯	超凡帝国	红砂沙漠	克拉克尖塔	尼科放逐者	是	10.69	501.40	16	650	wh3_main_combi_region_clarak_spire	wh3_main_combi_province_red_desert	wh2_dlc09_tmb_exiles_of_nehek	Clarak Spire	cai_region_hint_area_naggarond	官方
67	纳迦罗斯	超凡帝国	红砂沙漠	洛斯咖尖塔	碎镣		8.68	565.81	13	733	wh3_main_combi_region_rothkar_spire	wh3_main_combi_province_red_desert	wh2_dlc16_grn_naggaroth_orcs	Rothkar Spire	cai_region_hint_area_naggarond	官方
68	纳迦罗斯	超凡帝国	红砂沙漠	海美拉尖塔	碎镣		19.37	544.21	29	705	wh3_main_combi_region_khymerica_spire	wh3_main_combi_province_red_desert	wh2_dlc16_grn_naggaroth_orcs	Khymerica Spire	cai_region_hint_area_naggarond	官方
69	纳迦罗斯	超凡帝国	红砂沙漠	蜘蛛平原	碎镣		26.72	522.22	40	677	wh3_main_combi_region_plain_of_spiders	wh3_main_combi_province_red_desert	wh2_dlc16_grn_naggaroth_orcs	Plain of Spiders	cai_region_hint_area_naggarond	官方
70	纳迦罗斯	超凡帝国	花岗岩丘陵	巨石镇	纳迦瑞斯		135.61	582.78	203	755	wh3_main_combi_region_the_monoliths	wh3_main_combi_province_granite_hills	wh2_main_hef_nagarythe	The Monoliths	cai_region_hint_area_naggarond	官方
71	纳迦罗斯	超凡帝国	花岗岩丘陵	拉德莉莉神龛	卡隆德·卡尔		149.64	599.36	224	777	wh3_main_combi_region_shrine_of_ladrielle	wh3_main_combi_province_granite_hills	wh2_main_def_karond_kar	Shrine of Ladrielle	cai_region_hint_area_naggarond	官方
72	纳迦罗斯	超凡帝国	花岗岩丘陵	黯光塔	卡隆德·卡尔	是	140.29	611.70	210	793	wh3_main_combi_region_blacklight_tower	wh3_main_combi_province_granite_hills	wh2_main_def_karond_kar	Blacklight Tower	cai_region_hint_area_naggarond	官方
73	纳迦罗斯	超凡帝国	钢铁山脉	绍卡克山			38.08	592.80	57	768	wh3_main_combi_region_shroktak_mount	wh3_main_combi_province_iron_mountains		Shroktak Mount	cai_region_hint_area_naggarond	官方
74	纳迦罗斯	超凡帝国	钢铁山脉	锐科杜山峡	血毒氏族	是	36.74	626.74	55	812	wh3_main_combi_region_rackdo_gorge	wh3_main_combi_province_iron_mountains	wh2_main_skv_clan_septik	Rackdo Gorge	cai_region_hint_area_naggarond	官方
75	纳迦罗斯	超凡帝国	钢铁矮丘	哈尔·卡卓拉	血毒氏族		54.11	653.74	81	847	wh3_main_combi_region_har_kaldra	wh3_main_combi_province_iron_foothills	wh2_main_skv_clan_septik	Har Kaldra	cai_region_hint_area_naggarond	官方
76	纳迦罗斯	超凡帝国	钢铁矮丘	纳迦隆德	纳迦隆德	是	74.82	627.13	112	813	wh3_main_combi_region_naggarond	wh3_main_combi_province_iron_foothills	wh2_main_def_naggarond	Naggarond	cai_region_hint_area_naggarond	官方
77	纳迦罗斯	超凡帝国	铁砂沙漠	冰岩峡谷			49.43	497.54	74	645	wh3_main_combi_region_ice_rock_gorge	wh3_main_combi_province_ironsand_desert		Ice Rock Gorge	cai_region_hint_area_naggarond	官方
78	纳迦罗斯	超凡帝国	铁砂沙漠	猎犬平原	磨砂氏族	是	26.72	488.28	40	633	wh3_main_combi_region_plain_of_dogs	wh3_main_combi_province_ironsand_desert	wh2_dlc16_skv_clan_gritus	Plain of Dogs	cai_region_hint_area_naggarond	官方
79	纳迦罗斯	超凡帝国	镔铁海岸	上古尖塔	血毒氏族		10.02	629.06	15	815	wh3_main_combi_region_eldar_spire	wh3_main_combi_province_iron_coast	wh2_main_skv_clan_septik	Eldar Spire	cai_region_hint_area_naggarond	官方
80	纳迦罗斯	超凡帝国	镔铁海岸	德库拉尖塔	先祖之军		14.03	602.83	21	781	wh3_main_combi_region_drackla_spire	wh3_main_combi_province_iron_coast	wh3_main_dwf_the_ancestral_throng	Drackla Spire	cai_region_hint_area_naggarond	官方
81	纳迦罗斯	超凡帝国	镔铁海岸	终极黑暗祭坛	血毒氏族	是	29.39	649.50	44	842	wh3_main_combi_region_altar_of_ultimate_darkness	wh3_main_combi_province_iron_coast	wh2_main_skv_clan_septik	Altar of Ultimate Darkness	cai_region_hint_area_naggarond	官方
82	纳迦罗斯	超凡帝国	险恶群峰	大竞技场	戈隆德		103.55	629.83	155	816	wh3_main_combi_region_the_great_arena	wh3_main_combi_province_spiteful_peaks	wh2_main_def_ghrond	The Great Arena	cai_region_hint_area_naggarond	官方
83	纳迦罗斯	超凡帝国	险恶群峰	寒心路	戈隆德		86.84	642.56	130	833	wh3_main_combi_region_chill_road	wh3_main_combi_province_spiteful_peaks	wh2_main_def_ghrond	The Chill Road	cai_region_hint_area_naggarond	官方
84	纳迦罗斯	超凡帝国	险恶群峰	戈隆德	戈隆德	是	104.88	649.11	157	841	wh3_main_combi_region_ghrond	wh3_main_combi_province_spiteful_peaks	wh2_main_def_ghrond	Ghrond	cai_region_hint_area_naggarond	官方
85	纳迦罗斯	超凡帝国	险恶群峰	阿什拉克	戈隆德		90.18	665.31	135	862	wh3_main_combi_region_ashrak	wh3_main_combi_province_spiteful_peaks	wh2_main_def_ghrond	Ashrak	cai_region_hint_area_naggarond	官方
86	纳迦罗斯	超凡帝国	霜铁冰川	冰川营地	蒙人		52.77	696.94	79	903	wh3_dlc20_combi_region_glacier_encampment	wh3_main_combi_province_ironfrost_glacier	wh2_main_nor_mung	Glacier Encampment	cai_region_hint_area_naggarond	官方
87	纳迦罗斯	超凡帝国	霜铁冰川	达卦克灭亡地	戈隆德	是	85.51	701.18	128	909	wh3_main_combi_region_dagraks_end	wh3_main_combi_province_ironfrost_glacier	wh2_main_def_ghrond	Dagrak's End	cai_region_hint_area_naggarond	官方
88	纳迦罗斯	超凡帝国	霜铁冰川	霜铁镇	蒙人		26.72	677.27	40	878	wh3_main_combi_region_ironfrost	wh3_main_combi_province_ironfrost_glacier	wh2_main_nor_mung	Ironfrost	cai_region_hint_area_naggarond	官方
89	纳迦罗斯	超凡帝国	颅骨之路	哈尔·冈西	哈尔·冈西	是	141.62	637.93	212	827	wh3_main_combi_region_har_ganeth	wh3_main_combi_province_the_road_of_skulls	wh2_main_def_har_ganeth	Har Ganeth	cai_region_hint_area_naggarond	官方
90	纳迦罗斯	超凡帝国	颅骨之路	恶怨地	破笼者		126.93	651.81	190	845	wh3_main_combi_region_spite_reach	wh3_main_combi_province_the_road_of_skulls	wh3_main_grn_da_cage_breakaz	Spite Reach	cai_region_hint_area_naggarond	官方
91	纳迦罗斯	超凡帝国	颅骨之路	漆黑石柱	破笼者		142.96	654.90	214	849	wh3_main_combi_region_the_black_pillar	wh3_main_combi_province_the_road_of_skulls	wh3_main_grn_da_cage_breakaz	The Black Pillar	cai_region_hint_area_naggarond	官方
92	纳迦罗斯	超凡帝国	颅骨之路	考阿克	破笼者		134.94	672.64	202	872	wh3_main_combi_region_kauark	wh3_main_combi_province_the_road_of_skulls	wh3_main_grn_da_cage_breakaz	Kauark	cai_region_hint_area_naggarond	官方
93	纳迦罗斯	超凡帝国	黑曜石群峰	克拉卡隆德	克拉卡隆德	是	78.16	560.41	117	726	wh3_main_combi_region_clar_karond	wh3_main_combi_province_obsidian_peaks	wh2_main_def_clar_karond	Clar Karond	cai_region_hint_area_naggarond	官方
94	纳迦罗斯	超凡帝国	黑曜石群峰	斯托格·科尔			48.10	560.79	72	727	wh3_main_combi_region_storag_kor	wh3_main_combi_province_obsidian_peaks		Storag Kor	cai_region_hint_area_naggarond	官方
95	纳迦罗斯	超凡帝国	黑曜石群峰	毁灭石环	克拉卡隆德		106.22	584.32	159	757	wh3_main_combi_region_circle_of_destruction	wh3_main_combi_province_obsidian_peaks	wh2_main_def_clar_karond	Circle of Destruction	cai_region_hint_area_naggarond	官方
96	纳迦罗斯	超凡帝国	黑曜石群峰	毒液林地	克拉卡隆德		94.86	546.91	142	709	wh3_main_combi_region_venom_glade	wh3_main_combi_province_obsidian_peaks	wh2_main_def_clar_karond	Venom Glade	cai_region_hint_area_naggarond	官方
97	纳迦罗斯	超凡帝国	黑色涝地	凯恩神殿			59.45	608.23	89	788	wh3_main_combi_region_temple_of_khaine	wh3_main_combi_province_the_black_flood		Temple of Khaine	cai_region_hint_area_naggarond	官方
98	纳迦罗斯	超凡帝国	黑色涝地	夸格兹深渊			68.81	591.26	103	766	wh3_main_combi_region_cragroth_deep	wh3_main_combi_province_the_black_flood		Cragroth Deep	cai_region_hint_area_naggarond	官方
99	纳迦罗斯	超凡帝国	黑色涝地	海格·葛雷夫	海格·葛雷夫	是	92.86	607.46	139	787	wh3_main_combi_region_hag_graef	wh3_main_combi_province_the_black_flood	wh2_main_def_hag_graef	Hag Graef	cai_region_hint_area_naggarond	官方
100	露丝契亚	超凡帝国	吸血蚊沼泽	斯兰雾佩克	斯兰雾佩克	是	143.63	204.03	215	264	wh3_main_combi_region_xlanhuapec	wh3_main_combi_province_mosquito_swamps	wh2_main_lzd_xlanhuapec	Xlanhuapec	cai_region_hint_area_lustria	官方
101	露丝契亚	超凡帝国	吸血蚊沼泽	阿斯罗托	斯兰雾佩克		138.28	178.57	207	231	wh3_main_combi_region_axlotl	wh3_main_combi_province_mosquito_swamps	wh2_main_lzd_xlanhuapec	Axlotl	cai_region_hint_area_lustria	官方
102	露丝契亚	超凡帝国	吸血蚊沼泽	鲜血沼泽			159.66	181.66	239	235	wh3_main_combi_region_the_blood_swamps	wh3_main_combi_province_mosquito_swamps		The Blood Swamps	cai_region_hint_area_lustria	官方
103	露丝契亚	超凡帝国	地峡海岸	掠夺者港	新世界殖民者		65.47	371.03	98	481	wh3_main_combi_region_port_reaver	wh3_main_combi_province_the_isthmus_coast	wh2_main_emp_new_world_colonies	Port Reaver	cai_region_hint_area_lustria	官方
104	露丝契亚	超凡帝国	地峡海岸	斯科吉	斯科吉	是	84.17	395.72	126	513	wh3_main_combi_region_skeggi	wh3_main_combi_province_the_isthmus_coast	wh2_main_nor_skeggi	Skeggi	cai_region_hint_area_lustria	官方
105	露丝契亚	超凡帝国	地峡海岸	黎明金字塔	斯科吉		61.46	398.80	92	517	wh3_main_combi_region_ziggurat_of_dawn	wh3_main_combi_province_the_isthmus_coast	wh2_main_nor_skeggi	Ziggurat of Dawn	cai_region_hint_area_lustria	官方
106	露丝契亚	超凡帝国	夜森林路	凯阿克斯	斯克拉特氏族	是	127.59	91.41	191	118	wh3_main_combi_region_kaiax	wh3_main_combi_province_the_night_forest_road	wh3_main_skv_clan_skrat	Kaiax	cai_region_hint_area_lustria	官方
